Filename,Transcription,Slant,StrokeDirection,Curvature,Smoothness,Pressure,Handedness,classified_curvature
processed_w0010_s01_pLND_r01.jpeg,0 0,-0.730249879,17.34651110104214,0.7036798098444179,2.847319709406372,34.87304688,1,1
processed_w0011_s01_pLND_r01.jpeg,0 0000,-0.181989699,21.23145400593472,0.7188472823961098,2.7745255084607066,22.66601563,1,1
processed_w0012_s01_pLND_r01.jpeg,0 0000,-1.902680177,21.675343606830488,0.7079806116581808,2.784433790652052,19.05273438,1,1
processed_w0013_s01_pLND_r01.jpeg,0 0,-0.620895448,24.26256814052089,0.70787599,3.012868861537203,38.82226563,1,1
processed_w0015_s01_pLND_r01.jpeg,0 0000,-0.587018138,23.777538957549705,0.7104250046825187,2.902392375175375,43.18164063,1,1
processed_w0016_s01_pLND_r01.jpeg,American settlement of the American state,-0.023328306,25.05218135158255,0.7197076179716146,2.807998668863898,22.54101563,1,1
processed_w0017_s01_pLND_r01.jpeg,0 0,-1.647848024,21.00630583289543,0.7103109542452969,2.8632645503631937,23.06054688,1,1
processed_w0018_s01_pLND_r01.jpeg,0 1,-1.44300476,27.08117443868739,0.7083727532295878,2.913514813624264,39.5,1,1
processed_w0020_s01_pLND_r01.jpeg,1961 American film director of the American film director of the American Revolution and,-1.11063446,27.322991635868508,0.7087141933600393,2.851572177509134,40.09960938,1,1
processed_w0022_s01_pLND_r01.jpeg,a member of the United States,-2.126415908,27.11904939840072,0.7052129371861547,2.8696874138896384,50.0390625,1,1
processed_w0023_s01_pLND_r01.jpeg,a member of the British Parliament of Australia,2.1555176777598177,19.65088198236036,0.709498073,2.935246669848713,38.57617188,1,1
processed_w0024_s01_pLND_r01.jpeg,0 0,-0.025381061,17.497297297297298,0.7119738873649389,2.802927835016508,32.41210938,1,1
processed_w0025_s01_pLND_r01.jpeg,the first ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever ever,0.6569429403564541,29.65721213902565,0.699630491,2.9092434964833056,53.00976563,1,1
